Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Philip Ruddock,Liberal Party of Australia,Berowra,44,2013,2016,2025-03-23
Don Randall [b],Liberal Party of Australia,Canning,44,2013,2016,2025-03-23
Clive Palmer,Palmer United,Fairfax,44,2013,2016,2025-03-23
Melissa Parke,Australian Labor Party,Fremantle,44,2013,2016,2025-03-23
Nicola Roxon,Australian Labor Party,Gellibrand,43,2010,2013,2025-03-23
Kevin Rudd,Australian Labor Party,Griffith,43,2010,2013,2025-03-23
Janelle Saffin,Australian Labor Party,Page,43,2010,2013,2025-03-23
Don Randall,Liberal Party of Australia,Canning,43,2010,2013,2025-03-23
Laura Smyth,Australian Labor Party,La Trobe,43,2010,2013,2025-03-23
Alex Somlyay,Liberal National Party,Fairfax,43,2010,2013,2025-03-23
Mike Symon,Australian Labor Party,Deakin,43,2010,2013,2025-03-23
Craig Thomson,Labor/Independent,Dobell,43,2010,2013,2025-03-23
Mal Washer,Liberal Party of Australia,Moore,43,2010,2013,2025-03-23
Kirsten Livermore,Australian Labor Party,Capricornia,43,2010,2013,2025-03-23
Geoff Lyons,Australian Labor Party,Bass,43,2010,2013,2025-03-23
Robert McClelland,Australian Labor Party,Barton,43,2010,2013,2025-03-23
Daryl Melham,Australian Labor Party,Banks,43,2010,2013,2025-03-23
Sophie Mirabella,Liberal Party of Australia,Indi,43,2010,2013,2025-03-23
Judi Moylan,Liberal Party of Australia,Pearce,43,2010,2013,2025-03-23
John Murphy,Australian Labor Party,Reid,43,2010,2013,2025-03-23
Paul Neville,Liberal National Party,Hinkler,43,2010,2013,2025-03-23
Deborah O'Neill,Australian Labor Party,Robertson,43,2010,2013,2025-03-23
Rob Oakeshott,Independent,Lyne,43,2010,2013,2025-03-23
Dick Adams,Australian Labor Party,Lyons,43,2010,2013,2025-03-23
David Bradbury,Australian Labor Party,Lindsay,43,2010,2013,2025-03-23
Darren Cheeseman,Australian Labor Party,Corangamite,43,2010,2013,2025-03-23
Greg Combet,Australian Labor Party,Charlton,43,2010,2013,2025-03-23
Simon Crean,Australian Labor Party,Hotham,43,2010,2013,2025-03-23
Tony Crook,Nationals WA,O'Connor,43,2010,2013,2025-03-23
Yvette D'Ath,Australian Labor Party,Petrie,43,2010,2013,2025-03-23
Craig Emerson,Australian Labor Party,Rankin,43,2010,2013,2025-03-23
